1,75.952,131.41,3.024,0.57125,11.287,1242.1,156.35,6.4786,50.266,0
2,75.799,129.93,2.8585,0.51008,11.408,70.521,153.92,6.4162,50.588,1204.2
3,75.538,127.49,4.1156,0.95365,11.613,65.833,157.41,7.316,49.093,1202.8
4,75.844,130.36,3.1353,0.59929,11.372,69.544,155.22,6.5594,50.214,1204.4
5,75.925,131.14,2.9388,0.54482,11.309,69.837,155.99,6.4834,50.286,1204.9
6,75.764,129.6,2.9974,0.55065,11.435,69.602,154.21,6.5777,50.264,1204
7,75.699,128.99,2.7188,0.46653,11.486,70.723,152.56,6.4173,50.711,1203.7
8,75.798,129.92,3.035,0.56487,11.409,69.528,154.67,6.5781,50.225,1204.2
9,75.727,129.25,3.0329,0.56305,11.464,69.69,153.7,6.5759,50.311,1203.8
10,75.701,129.01,3.0661,0.57197,11.484,69.512,153.53,6.6144,50.256,1203.7
11,75.838,130.3,3.0834,0.58299,11.377,69.711,155.02,6.5342,50.275,1204.4
12,75.832,130.25,3.1301,0.59735,11.381,69.48,155.13,6.5738,50.195,1204.4
13,75.64,128.43,2.8686,0.50504,11.533,69.862,152.22,6.5776,50.41,1203.3
14,75.615,128.2,2.8406,0.49584,11.552,69.982,151.83,6.5661,50.466,1203.2
15,75.571,127.79,2.8447,0.49559,11.587,69.947,151.33,6.5872,50.472,1203
16,75.632,128.35,2.8961,0.51325,11.539,69.986,152.02,6.5601,50.46,1203.3
17,75.544,127.54,3.0418,0.55738,11.608,69.414,152.05,6.6853,50.284,1202.8
18,75.476,126.92,2.7673,0.46721,11.661,70.189,150.34,6.5792,50.608,1202.5
19,75.581,127.88,2.8341,0.49219,11.579,70.095,151.64,6.5592,50.524,1203
20,75.571,127.79,2.8221,0.49008,11.587,70.304,151.05,6.5283,50.609,1203
21,75.777,129.73,2.6463,0.45262,11.425,70.835,153.1,6.3732,50.718,1204.1
22,75.553,127.63,3.0079,0.54786,11.601,69.671,151.65,6.6392,50.375,1202.9
23,75.836,130.29,2.7989,0.50015,11.379,70.393,154.47,6.4243,50.525,1204.4
24,75.709,129.08,2.8413,0.50975,11.478,69.85,153.67,6.556,50.377,1203.7
25,75.667,128.69,3.0226,0.55787,11.511,69.691,152.98,6.5965,50.336,1203.5
26,75.571,127.79,2.9369,0.52209,11.587,69.59,151.92,6.6466,50.338,1203
27,75.721,129.19,2.8566,0.50378,11.469,70.229,152.89,6.4899,50.513,1203.8
28,75.778,129.73,2.871,0.51204,11.424,69.884,153.85,6.5266,50.361,1204.1
29,75.89,130.81,3.0038,0.56556,11.336,69.908,155.51,6.4841,50.325,1204.7
30,75.846,130.38,2.9392,0.54338,11.371,70.139,154.78,6.4619,50.427,1204.4
31,75.843,130.36,2.9217,0.53654,11.373,70.141,154.75,6.4623,50.428,1204.4
32,75.873,130.64,2.9549,0.54738,11.349,69.857,155.34,6.4981,50.314,1204.6
33,75.731,129.29,2.9395,0.52893,11.461,69.974,153.52,6.528,50.414,1203.8
34,75.868,130.6,3.0183,0.56526,11.353,70.208,154.69,6.4431,50.442,1204.6
35,75.761,129.57,3.0317,0.56342,11.437,69.843,153.99,6.539,50.353,1204
36,75.924,131.13,2.9208,0.53794,11.309,69.916,156.23,6.4711,50.315,1204.8
37,75.649,128.52,2.8436,0.50786,11.525,69.319,153.37,6.6647,50.207,1203.4
38,75.658,128.6,2.8309,0.50303,11.519,69.608,153.24,6.6136,50.309,1203.4
39,75.691,128.91,2.8142,0.4981,11.492,69.729,153.55,6.582,50.34,1203.6
40,75.711,129.1,2.8039,0.49343,11.477,69.771,153.75,6.5684,50.347,1203.7
41,75.869,130.6,2.876,0.52478,11.353,70.029,155.47,6.4717,50.377,1204.6
42,75.856,130.48,2.9188,0.53631,11.363,70.024,155.31,6.4771,50.381,1204.5
43,75.921,131.11,2.9256,0.54076,11.311,69.902,155.89,6.4742,50.311,1204.8
44,75.78,129.75,2.8487,0.51358,11.423,69.775,154.26,6.5439,50.321,1204.1
45,75.755,129.52,2.8684,0.5168,11.442,69.655,154.38,6.572,50.287,1204
46,75.954,131.43,2.8227,0.51243,11.285,70.317,155.98,6.3962,50.447,1205
47,75.728,129.26,2.7616,0.47796,11.464,69.824,153.92,6.5537,50.36,1203.8
48,75.785,129.8,2.7719,0.48928,11.419,70.319,154.21,6.4537,50.519,1204.1
49,75.929,131.19,2.7667,0.49267,11.305,70.745,155.65,6.3367,50.615,1204.9
50,75.895,130.85,2.7755,0.49245,11.332,70.829,155.16,6.3349,50.662,1204.7
51,75.913,131.03,2.7775,0.49511,11.318,70.575,155.59,6.369,50.559,1204.8
52,75.915,131.05,2.8133,0.50523,11.316,70.653,155.86,6.3561,50.587,1204.8
53,75.916,131.05,2.834,0.51285,11.316,70.386,156.08,6.3984,50.488,1204.8
54,75.95,131.38,2.8784,0.52854,11.289,70.799,156.18,6.3214,50.626,1205
55,75.79,129.84,2.7754,0.48837,11.415,70.678,154.3,6.3942,50.652,1204.1
56,75.774,129.7,2.7734,0.48756,11.427,70.645,154.45,6.4047,50.647,1204.1
57,75.729,129.27,2.7535,0.47858,11.463,70.811,153.76,6.3933,50.731,1203.8
58,75.684,128.84,2.731,0.46861,11.498,70.592,153.7,6.4435,50.668,1203.6
59,75.749,129.46,2.8433,0.5093,11.447,70.839,154.29,6.3822,50.732,1203.9
60,75.653,128.56,2.6377,0.43963,11.522,71.529,152.27,6.3039,51.056,1203.4
61,75.635,128.39,2.6816,0.44905,11.536,70.542,152.85,6.4678,50.671,1203.3
