Vertical	Streamwise	Spanwise	Thermocouples/ai1 mean	Thermocouples/ai1 variance	4492/ai2 mean	4492/ai2 variance
-64.999870	-29.999929	-64.999870	20.0650246675	0.0000153503	0.0029030240	0.0000003452
-64.999870	-29.999929	-64.999870	20.0802106042	0.0000130353	0.0026745470	0.0000003855
-64.999870	-29.999929	-64.999870	20.0992451021	0.0000169787	0.0025980256	0.0000003357
-64.999870	-29.999929	-64.999870	20.1112829275	0.0000345298	0.0031511444	0.0000002441
-64.999870	-29.999929	-64.999870	20.1218243796	0.0000195003	0.0037938055	0.0000000586
-64.999870	-29.999929	-64.999870	20.1328639340	0.0000076255	0.0025065506	0.0000001517
-64.999870	-29.999929	-64.999870	20.1351962241	0.0000259410	0.0026394746	0.0000000333
-64.999870	-29.999929	-64.999870	20.1409274425	0.0000121970	0.0026912969	0.0000006603
-64.999870	-29.999929	-64.999870	20.1533897977	0.0000256210	0.0019853243	0.0000003949
-64.999870	-29.999929	-64.999870	20.1638219416	0.0000333045	0.0018688334	0.0000003157
-64.999870	-29.999929	-64.999870	20.1880802217	0.0000099336	0.0021069594	0.0000001980
-64.999870	-29.999929	-64.999870	20.1816427107	0.0000297797	0.0021865232	0.0000000514
-64.999870	-29.999929	-64.999870	20.2141665365	0.0000802187	0.0024171101	0.0000001339
-64.999870	-29.999929	-64.999870	20.2476021588	0.0000440681	0.0043707022	0.0000001656
-64.999870	-29.999929	-64.999870	20.2520128170	0.0000180180	0.0066599732	0.0000007621
-64.999870	-29.999929	-64.999870	20.2443179342	0.0000337622	0.0127855458	0.0000029296
-64.999870	-29.999929	-64.999870	20.2461159918	0.0001268618	0.0222848945	0.0000055548
-64.999870	-29.999929	-64.999870	20.2944625478	0.0000511101	0.0384988058	0.0000122515
-64.999870	-29.999929	-64.999870	20.3685425377	0.0001018660	0.0658238437	0.0000377852
-64.999870	-29.999929	-64.999870	20.3781150797	0.0000162588	0.1012271412	0.0000598740
-64.999870	-29.999929	-64.999870	20.3576371839	0.0000458148	0.1496959786	0.0001307025
-64.999870	-29.999929	-64.999870	20.3103562437	0.0001045473	0.2182033582	0.0001769156
-64.999870	-29.999929	-64.999870	20.2353464180	0.0004004598	0.3044599924	0.0003187437
-64.999870	-29.999929	-64.999870	20.1418193476	0.0005996246	0.4094612627	0.0002933620
-64.999870	-29.999929	-64.999870	20.0907168513	0.0000367034	0.4874796268	0.0001804333
-64.999870	-29.999929	-64.999870	20.1305718026	0.0000594729	0.5509925641	0.0001326957
-64.999870	-29.999929	-64.999870	20.1275578691	0.0000330025	0.6053175730	0.0000874419
-64.999870	-29.999929	-64.999870	20.1549553717	0.0001653225	0.6423420130	0.0000346730
-64.999870	-29.999929	-64.999870	20.1249047909	0.0003003871	0.6726969182	0.0000329575
-64.999870	-29.999929	-64.999870	20.1257363760	0.0000247457	0.6905560365	0.0000074136
-64.999870	-29.999929	-64.999870	20.1322333321	0.0000398923	0.7034210182	0.0000130638
-64.999870	-29.999929	-64.999870	20.1703852107	0.0001293352	0.7166038258	0.0000012417
-64.999870	-29.999929	-64.999870	20.1290550089	0.0000449388	0.7182522538	0.0000015884
-64.999870	-29.999929	-64.999870	20.0921873216	0.0001811707	0.7265242508	0.0000034084
-64.999870	-29.999929	-64.999870	20.0432392322	0.0002419457	0.7271607366	0.0000004809
-64.999870	-29.999929	-64.999870	19.9884910496	0.0000611828	0.7330166986	0.0000014589
-64.999870	-29.999929	-64.999870	19.9689854340	0.0000124307	0.7357829433	0.0000003300
-64.999870	-29.999929	-64.999870	19.9605506321	0.0000289148	0.7364228624	0.0000006070
-64.999870	-29.999929	-64.999870	19.9568851031	0.0000369097	0.7410239422	0.0000004458
-64.999870	-29.999929	-64.999870	19.9665206893	0.0000307790	0.7388532681	0.0000014759
-64.999870	-29.999929	-64.999870	19.9617661984	0.0000262044	0.7424216858	0.0000009151
-64.999870	-29.999929	-64.999870	19.9472550424	0.0000096575	0.7406486716	0.0000007340
-64.999870	-29.999929	-64.999870	19.9403889902	0.0000069698	0.7427517120	0.0000012508
-64.999870	-29.999929	-64.999870	19.9414313859	0.0000243539	0.7431345428	0.0000025679
-64.999870	-29.999929	-64.999870	19.9480255682	0.0000409582	0.7424977972	0.0000012869
-64.999870	-29.999929	-64.999870	19.9523617535	0.0000089148	0.7458636611	0.0000013092
-64.999870	-29.999929	-64.999870	19.9544073385	0.0000172891	0.7426308070	0.0000020117
-64.999870	-29.999929	-64.999870	19.9609054153	0.0000297401	0.7451664272	0.0000016748
-64.999870	-29.999929	-64.999870	19.9671532224	0.0000155668	0.7412249678	0.0000013306
-64.999870	-29.999929	-64.999870	19.9747453754	0.0000338315	0.7427483889	0.0000017247
-64.999870	-29.999929	-64.999870	19.9720774167	0.0000604024	0.7425547022	0.0000045114
-64.999870	-29.999929	-64.999870	19.9766978998	0.0000154683	0.7408439132	0.0000024679
-64.999870	-29.999929	-64.999870	19.9753871685	0.0000331920	0.7431324990	0.0000038602
-64.999870	-29.999929	-64.999870	19.9736721350	0.0000303661	0.7416730153	0.0000032780
-64.999870	-29.999929	-64.999870	19.9732036522	0.0000166612	0.7431986014	0.0000046533
-64.999870	-29.999929	-64.999870	19.9684710834	0.0000356110	0.7403283266	0.0000057750
-64.999870	-29.999929	-64.999870	19.9634070266	0.0000187601	0.7434945291	0.0000019707
-64.999870	-29.999929	-64.999870	19.9634126389	0.0000218533	0.7455154080	0.0000056840
-64.999870	-29.999929	-64.999870	19.9711422850	0.0000315375	0.7586998594	0.0000147141
-64.999870	-29.999929	-64.999870	19.9620598061	0.0000207032	0.7904792960	0.0000775857
-64.999870	-29.999929	-64.999870	19.9620240560	0.0000310708	0.8418120901	0.0001591615
-64.999870	-29.999929	-64.999870	19.9607673709	0.0000180540	0.9201921097	0.0003335269
-64.999870	-29.999929	-64.999870	19.9421251244	0.0000320465	1.0211803269	0.0005222315
-64.999870	-29.999929	-64.999870	19.9393565057	0.0000300409	1.1561903350	0.0006323121
-64.999870	-29.999929	-64.999870	19.9252060428	0.0000272226	1.3054907177	0.0006761774
-64.999870	-29.999929	-64.999870	19.9196083950	0.0000188224	1.4544813736	0.0009679135
-64.999870	-29.999929	-64.999870	19.9149837489	0.0000344777	1.6103698549	0.0009956130
-64.999870	-29.999929	-64.999870	19.9080421534	0.0000149466	1.7799506969	0.0011210973
-64.999870	-29.999929	-64.999870	19.9032945386	0.0000155100	1.9770283458	0.0011453332
-64.999870	-29.999929	-64.999870	19.9001917571	0.0000075891	2.1652262223	0.0013975024
-64.999870	-29.999929	-64.999870	19.9118134175	0.0000128451	2.3574801544	0.0014722348
-64.999870	-29.999929	-64.999870	19.9174964887	0.0000177923	2.5582232528	0.0016319988
-64.999870	-29.999929	-64.999870	19.9216544897	0.0000195247	2.7509530000	0.0012067028
-64.999870	-29.999929	-64.999870	19.9144300823	0.0000211527	2.8808500187	0.0003422628
-64.999870	-29.999929	-64.999870	19.9038416526	0.0000315271	2.9063431470	0.0000289776
-64.999870	-29.999929	-64.999870	19.8991172825	0.0000322723	2.8971251758	0.0000443182
-64.999870	-29.999929	-64.999870	19.8991589158	0.0000072175	2.8963638986	0.0000702036
-64.999870	-29.999929	-64.999870	19.8978244756	0.0000230330	2.9051573203	0.0000789789
-64.999870	-29.999929	-64.999870	19.8915688699	0.0000276168	2.9163283706	0.0000336881
-64.999870	-29.999929	-64.999870	19.8803825240	0.0000213943	2.9218042174	0.0000747815
-64.999870	-29.999929	-64.999870	19.8794722538	0.0000296299	2.9159804303	0.0000925291
-64.999870	-29.999929	-64.999870	19.8800455703	0.0000048299	2.9089326081	0.0000673949
-64.999870	-29.999929	-64.999870	19.8753416982	0.0000192580	2.9097902262	0.0000724080
-64.999870	-29.999929	-64.999870	19.8762199885	0.0000354803	2.9136120049	0.0001050815
-64.999870	-29.999929	-64.999870	19.8722823520	0.0000158600	2.9118810555	0.0000495519
-64.999870	-29.999929	-64.999870	19.8779923234	0.0000162110	2.9143686479	0.0000438386
-64.999870	-29.999929	-64.999870	19.8751951785	0.0000324667	2.9138903837	0.0000391682
-64.999870	-29.999929	-64.999870	19.8739477427	0.0000257773	2.9113145605	0.0001236373
-64.999870	-29.999929	-64.999870	19.8744524014	0.0000252909	2.9110438130	0.0000624271
-64.999870	-29.999929	-64.999870	19.8812589738	0.0000241064	2.9099379347	0.0000428967
