Vertical	Streamwise	Spanwise	Thermocouples/ai1 mean	Thermocouples/ai1 variance	4492/ai2 mean	4492/ai2 variance
-64.999870	-29.999929	-64.999870	20.2926160665	0.0000148088	0.3619236762	0.0000016905
-64.999870	-29.999929	-64.999870	20.2956306717	0.0000061518	0.3564815447	0.0000010586
-64.999870	-29.999929	-64.999870	20.2894100237	0.0000197325	0.3520562816	0.0000021606
-64.999870	-29.999929	-64.999870	20.2919189156	0.0000289519	0.3466477727	0.0000011831
-64.999870	-29.999929	-64.999870	20.2918493928	0.0000166057	0.3422738119	0.0000011206
-64.999870	-29.999929	-64.999870	20.2898103635	0.0000085083	0.3370105112	0.0000013884
-64.999870	-29.999929	-64.999870	20.2933718109	0.0000268184	0.3329861853	0.0000009703
-64.999870	-29.999929	-64.999870	20.2948617201	0.0000361419	0.3364748494	0.0000041701
-64.999870	-29.999929	-64.999870	20.2906192966	0.0000194000	0.3610375855	0.0000446710
-64.999870	-29.999929	-64.999870	20.2911192372	0.0000066819	0.4070663349	0.0001070606
-64.999870	-29.999929	-64.999870	20.2908522820	0.0000245188	0.4679739698	0.0001598836
-64.999870	-29.999929	-64.999870	20.2882544715	0.0000215018	0.5359109575	0.0001873739
-64.999870	-29.999929	-64.999870	20.2899041389	0.0000146147	0.5966767734	0.0000766735
-64.999870	-29.999929	-64.999870	20.2915693639	0.0000089273	0.6310155404	0.0000272110
-64.999870	-29.999929	-64.999870	20.2912405460	0.0000291591	0.6619325070	0.0000321315
-64.999870	-29.999929	-64.999870	20.2941755941	0.0000093399	0.6852934943	0.0000078068
-64.999870	-29.999929	-64.999870	20.2943204603	0.0000209074	0.7000447374	0.0000086971
-64.999870	-29.999929	-64.999870	20.2919523048	0.0000112814	0.7135541829	0.0000026173
-64.999870	-29.999929	-64.999870	20.2911935767	0.0000207736	0.7182862503	0.0000017110
-64.999870	-29.999929	-64.999870	20.2810655081	0.0000357127	0.7276289280	0.0000019539
-64.999870	-29.999929	-64.999870	20.2797606226	0.0000318729	0.7284964141	0.0000008872
-64.999870	-29.999929	-64.999870	20.2805117227	0.0000193869	0.7327027084	0.0000018641
-64.999870	-29.999929	-64.999870	20.2871214466	0.0000304838	0.7339592346	0.0000018756
-64.999870	-29.999929	-64.999870	20.2945191765	0.0000376489	0.7340633450	0.0000035704
-64.999870	-29.999929	-64.999870	20.2929532066	0.0000089829	0.7375998650	0.0000020524
-64.999870	-29.999929	-64.999870	20.2883021537	0.0000127752	0.7350658878	0.0000016579
-64.999870	-29.999929	-64.999870	20.2879612427	0.0000237486	0.7402532714	0.0000013377
-64.999870	-29.999929	-64.999870	20.2829036522	0.0000057141	0.7369691787	0.0000018166
-64.999870	-29.999929	-64.999870	20.2845792939	0.0000125156	0.7388842958	0.0000012694
-64.999870	-29.999929	-64.999870	20.2828636619	0.0000154833	0.7381591995	0.0000006210
-64.999870	-29.999929	-64.999870	20.2855332448	0.0000303609	0.7379434004	0.0000022752
-64.999870	-29.999929	-64.999870	20.2873866320	0.0000028490	0.7410171879	0.0000023782
