Vertical	Streamwise	Spanwise	Thermocouples/ai1 mean	Thermocouples/ai1 variance	4492/ai2 mean	4492/ai2 variance
-64.999870	-29.999929	-64.999870	20.7211244548	0.0000200478	0.4528557900	0.0000017937
-64.999870	-29.999929	-64.999870	20.7210912260	0.0000074584	0.4472870711	0.0000023772
-64.999870	-29.999929	-64.999870	20.7200842560	0.0000151944	0.4396649343	0.0000020358
-64.999870	-29.999929	-64.999870	20.7210164463	0.0000208387	0.4337670820	0.0000030973
-64.999870	-29.999929	-64.999870	20.7201046357	0.0000059779	0.4263755717	0.0000015384
-64.999870	-29.999929	-64.999870	20.7199936361	0.0000255491	0.4210506977	0.0000019711
-64.999870	-29.999929	-64.999870	20.7191727729	0.0000091686	0.4163613475	0.0000021162
-64.999870	-29.999929	-64.999870	20.7221114899	0.0000157790	0.4188285105	0.0000060573
-64.999870	-29.999929	-64.999870	20.7195553908	0.0000193703	0.4508346872	0.0000662683
-64.999870	-29.999929	-64.999870	20.7189853034	0.0000121432	0.5026475679	0.0001443576
-64.999870	-29.999929	-64.999870	20.7174849695	0.0000377746	0.5724280433	0.0001879800
-64.999870	-29.999929	-64.999870	20.7173622597	0.0000469000	0.6293999508	0.0000578554
-64.999870	-29.999929	-64.999870	20.7188904209	0.0000075733	0.6562994865	0.0000231574
-64.999870	-29.999929	-64.999870	20.7192876951	0.0000107211	0.6830465285	0.0000205467
-64.999870	-29.999929	-64.999870	20.7194820395	0.0000125796	0.7024371379	0.0000058598
-64.999870	-29.999929	-64.999870	20.7172222637	0.0000152483	0.7128486422	0.0000050697
-64.999870	-29.999929	-64.999870	20.7199323239	0.0000266568	0.7252490994	0.0000045447
-64.999870	-29.999929	-64.999870	20.7199075700	0.0000171797	0.7283797271	0.0000020864
-64.999870	-29.999929	-64.999870	20.7165301072	0.0000184866	0.7362974902	0.0000038674
-64.999870	-29.999929	-64.999870	20.7133382286	0.0000138995	0.7353472329	0.0000008449
-64.999870	-29.999929	-64.999870	20.7172832329	0.0000241107	0.7390063837	0.0000013669
-64.999870	-29.999929	-64.999870	20.7177860049	0.0000087884	0.7394572686	0.0000023188
-64.999870	-29.999929	-64.999870	20.7181968535	0.0000101539	0.7395408647	0.0000013685
-64.999870	-29.999929	-64.999870	20.7220715059	0.0000375026	0.7423170813	0.0000003408
-64.999870	-29.999929	-64.999870	20.7161384787	0.0000217633	0.7412042192	0.0000009203
-64.999870	-29.999929	-64.999870	20.7168975471	0.0000397880	0.7451511985	0.0000034276
-64.999870	-29.999929	-64.999870	20.7122744927	0.0000083738	0.7424445836	0.0000009144
-64.999870	-29.999929	-64.999870	20.7156445728	0.0000119934	0.7443630872	0.0000015789
-64.999870	-29.999929	-64.999870	20.7182280016	0.0000312246	0.7442398943	0.0000036691
-64.999870	-29.999929	-64.999870	20.7159478164	0.0000179338	0.7431543914	0.0000018952
-64.999870	-29.999929	-64.999870	20.7186937395	0.0000115984	0.7447573742	0.0000011771
-64.999870	-29.999929	-64.999870	20.7183053034	0.0000219483	0.7428126567	0.0000013996
-64.999870	-29.999929	-64.999870	20.7142780575	0.0000209854	0.7461187492	0.0000019230
-64.999870	-29.999929	-64.999870	20.7170849220	0.0000239803	0.7437603238	0.0000013807
-64.999870	-29.999929	-64.999870	20.7126385954	0.0000194284	0.7445322151	0.0000012420
-64.999870	-29.999929	-64.999870	20.7154772234	0.0000219933	0.7428728233	0.0000013550
-64.999870	-29.999929	-64.999870	20.7139217181	0.0000214377	0.7442935513	0.0000007350
-64.999870	-29.999929	-64.999870	20.7145661128	0.0000190362	0.7450939193	0.0000005503
-64.999870	-29.999929	-64.999870	20.7146964191	0.0000297171	0.7438242452	0.0000011120
-64.999870	-29.999929	-64.999870	20.7158937280	0.0000208817	0.7447703456	0.0000007097
-64.999870	-29.999929	-64.999870	20.7130142125	0.0000274106	0.7425728548	0.0000016112
-64.999870	-29.999929	-64.999870	20.7137593459	0.0000364886	0.7464291028	0.0000030493
-64.999870	-29.999929	-64.999870	20.7122231063	0.0000229092	0.7424440466	0.0000015096
-64.999870	-29.999929	-64.999870	20.7114682644	0.0000150850	0.7446923917	0.0000012200
-64.999870	-29.999929	-64.999870	20.7126604447	0.0000116715	0.7430809833	0.0000013365
-64.999870	-29.999929	-64.999870	20.7122652482	0.0000130362	0.7426038858	0.0000012615
-64.999870	-29.999929	-64.999870	20.7126801842	0.0000211205	0.7449097270	0.0000016901
-64.999870	-29.999929	-64.999870	20.7119706641	0.0000087520	0.7417300243	0.0000009911
-64.999870	-29.999929	-64.999870	20.7071351686	0.0000119258	0.7450028813	0.0000014767
-64.999870	-29.999929	-64.999870	20.7118753339	0.0000138949	0.7420990472	0.0000017200
-64.999870	-29.999929	-64.999870	20.7104448614	0.0000203881	0.7459784641	0.0000033260
-64.999870	-29.999929	-64.999870	20.7088930247	0.0000229474	0.7418128699	0.0000017902
-64.999870	-29.999929	-64.999870	20.7065181492	0.0000114223	0.7429464002	0.0000028920
-64.999870	-29.999929	-64.999870	20.7080788302	0.0000212227	0.7429324401	0.0000026311
-64.999870	-29.999929	-64.999870	20.7083460973	0.0000277089	0.7426974539	0.0000036915
-64.999870	-29.999929	-64.999870	20.7094836637	0.0000258851	0.7439138758	0.0000007627
-64.999870	-29.999929	-64.999870	20.7106447916	0.0000276649	0.7475907539	0.0000068717
-64.999870	-29.999929	-64.999870	20.7088024945	0.0000210028	0.7652486140	0.0000266210
-64.999870	-29.999929	-64.999870	20.7096535503	0.0000128200	0.7990006520	0.0000767930
-64.999870	-29.999929	-64.999870	20.7091016793	0.0000177735	0.8515880195	0.0001464199
-64.999870	-29.999929	-64.999870	20.7098553386	0.0000105930	0.9309252869	0.0003311350
-64.999870	-29.999929	-64.999870	20.7076119171	0.0000313233	1.0376166273	0.0005638062
-64.999870	-29.999929	-64.999870	20.7073308176	0.0000128035	1.1637767434	0.0005773830
-64.999870	-29.999929	-64.999870	20.7015432315	0.0000180081	1.3170286294	0.0006975690
-64.999870	-29.999929	-64.999870	20.7064919550	0.0000177209	1.4651785790	0.0008860730
-64.999870	-29.999929	-64.999870	20.7070998699	0.0000235236	1.6231583659	0.0010775468
-64.999870	-29.999929	-64.999870	20.7057107643	0.0000350576	1.7910411020	0.0010675766
-64.999870	-29.999929	-64.999870	20.7036795994	0.0000093742	1.9858464257	0.0012586275
