Vertical	Streamwise	Spanwise	Thermocouples/ai1 mean	Thermocouples/ai1 variance	4492/ai2 mean	4492/ai2 variance
-64.999870	-29.999929	-64.999870	20.4859011925	0.0000102315	0.3170477651	0.0000006604
-64.999870	-29.999929	-64.999870	20.4856368786	0.0000062436	0.3132736705	0.0000006360
-64.999870	-29.999929	-64.999870	20.4841289177	0.0000081129	0.3092124720	0.0000005372
-64.999870	-29.999929	-64.999870	20.4844452052	0.0000119095	0.3047443375	0.0000021750
-64.999870	-29.999929	-64.999870	20.4838915153	0.0000132337	0.3005647388	0.0000004260
-64.999870	-29.999929	-64.999870	20.4842745289	0.0000123020	0.2964881001	0.0000004643
-64.999870	-29.999929	-64.999870	20.4868668855	0.0000181511	0.2933899141	0.0000012019
-64.999870	-29.999929	-64.999870	20.4834649814	0.0000173838	0.2901628440	0.0000002606
-64.999870	-29.999929	-64.999870	20.4832741272	0.0000216135	0.2998777821	0.0000161680
-64.999870	-29.999929	-64.999870	20.4816544589	0.0000204670	0.3268257461	0.0000485032
-64.999870	-29.999929	-64.999870	20.4831687280	0.0000336521	0.3713697148	0.0001000318
-64.999870	-29.999929	-64.999870	20.4842392585	0.0000162066	0.4273375379	0.0001437560
-64.999870	-29.999929	-64.999870	20.4837788503	0.0000120643	0.4938988857	0.0001871627
-64.999870	-29.999929	-64.999870	20.4848366962	0.0000212979	0.5657906586	0.0001713123
-64.999870	-29.999929	-64.999870	20.4822546038	0.0000148227	0.6181394033	0.0000493428
-64.999870	-29.999929	-64.999870	20.4843356835	0.0000279081	0.6501480900	0.0000380213
-64.999870	-29.999929	-64.999870	20.4838866529	0.0000244831	0.6839040735	0.0000209818
-64.999870	-29.999929	-64.999870	20.4837208372	0.0000091785	0.7013134724	0.0000078877
-64.999870	-29.999929	-64.999870	20.4849664142	0.0000444581	0.7169850017	0.0000117238
-64.999870	-29.999929	-64.999870	20.4821592139	0.0000117784	0.7263251993	0.0000004490
-64.999870	-29.999929	-64.999870	20.4813856876	0.0000242549	0.7326589042	0.0000028869
-64.999870	-29.999929	-64.999870	20.4764884774	0.0000217901	0.7394673934	0.0000004085
-64.999870	-29.999929	-64.999870	20.4782316105	0.0000248123	0.7396659621	0.0000015635
-64.999870	-29.999929	-64.999870	20.4808486774	0.0000290658	0.7430623033	0.0000007016
-64.999870	-29.999929	-64.999870	20.4889107709	0.0000083840	0.7425666567	0.0000004358
-64.999870	-29.999929	-64.999870	20.4876577542	0.0000087825	0.7440502543	0.0000025177
-64.999870	-29.999929	-64.999870	20.4847368676	0.0000132662	0.7465435509	0.0000014532
-64.999870	-29.999929	-64.999870	20.4849306198	0.0000267818	0.7470706076	0.0000004965
-64.999870	-29.999929	-64.999870	20.4786052964	0.0000055687	0.7478860850	0.0000012531
-64.999870	-29.999929	-64.999870	20.4777752751	0.0000327082	0.7464326431	0.0000013159
-64.999870	-29.999929	-64.999870	20.4809278406	0.0000106168	0.7498586282	0.0000003925
-64.999870	-29.999929	-64.999870	20.4791330362	0.0000248560	0.7467120092	0.0000004185
-64.999870	-29.999929	-64.999870	20.4802852550	0.0000175278	0.7487738694	0.0000025610
-64.999870	-29.999929	-64.999870	20.4821425140	0.0000141197	0.7477094450	0.0000016970
-64.999870	-29.999929	-64.999870	20.4760186727	0.0000124242	0.7473089481	0.0000007524
-64.999870	-29.999929	-64.999870	20.4797466287	0.0000164997	0.7487082019	0.0000013297
-64.999870	-29.999929	-64.999870	20.4788659756	0.0000166420	0.7473588540	0.0000004665
-64.999870	-29.999929	-64.999870	20.4770274524	0.0000131886	0.7491408741	0.0000004539
-64.999870	-29.999929	-64.999870	20.4775308133	0.0000328099	0.7472684911	0.0000004803
-64.999870	-29.999929	-64.999870	20.4800054752	0.0000093011	0.7495329719	0.0000004471
-64.999870	-29.999929	-64.999870	20.4775298752	0.0000257049	0.7464266517	0.0000002933
-64.999870	-29.999929	-64.999870	20.4747650027	0.0000146570	0.7492085463	0.0000018036
-64.999870	-29.999929	-64.999870	20.4778253597	0.0000192902	0.7474510067	0.0000005404
-64.999870	-29.999929	-64.999870	20.4769849946	0.0000190311	0.7475070881	0.0000002958
-64.999870	-29.999929	-64.999870	20.4780712312	0.0000205865	0.7500396814	0.0000007027
-64.999870	-29.999929	-64.999870	20.4760258017	0.0000351913	0.7464366267	0.0000008873
-64.999870	-29.999929	-64.999870	20.4771967317	0.0000237427	0.7493418639	0.0000002650
-64.999870	-29.999929	-64.999870	20.4769812155	0.0000106436	0.7464286355	0.0000004273
-64.999870	-29.999929	-64.999870	20.4744803704	0.0000183999	0.7495082108	0.0000010517
-64.999870	-29.999929	-64.999870	20.4780254866	0.0000278229	0.7478779944	0.0000023389
-64.999870	-29.999929	-64.999870	20.4782392290	0.0000112973	0.7487766902	0.0000018431
-64.999870	-29.999929	-64.999870	20.4764243249	0.0000322908	0.7489638510	0.0000011427
-64.999870	-29.999929	-64.999870	20.4797001771	0.0000388020	0.7478339537	0.0000009505
-64.999870	-29.999929	-64.999870	20.4783197596	0.0000158825	0.7496467684	0.0000009693
-64.999870	-29.999929	-64.999870	20.4751678695	0.0000309891	0.7459241616	0.0000007596
-64.999870	-29.999929	-64.999870	20.4774748849	0.0000168650	0.7511645996	0.0000008219
-64.999870	-29.999929	-64.999870	20.4776599105	0.0000174822	0.7504993656	0.0000009986
-64.999870	-29.999929	-64.999870	20.4755310365	0.0000086174	0.7575743427	0.0000074494
-64.999870	-29.999929	-64.999870	20.4753895692	0.0000109574	0.7837705803	0.0000457698
-64.999870	-29.999929	-64.999870	20.4740390671	0.0000097725	0.8276719402	0.0001142593
-64.999870	-29.999929	-64.999870	20.4742280411	0.0000189020	0.8930505207	0.0002201308
-64.999870	-29.999929	-64.999870	20.4751270193	0.0000135246	0.9855699697	0.0004306161
-64.999870	-29.999929	-64.999870	20.4732216802	0.0000290068	1.0998189887	0.0005621137
-64.999870	-29.999929	-64.999870	20.4725950486	0.0000208386	1.2419188895	0.0006721955
-64.999870	-29.999929	-64.999870	20.4752619416	0.0000237975	1.3808785046	0.0008020269
-64.999870	-29.999929	-64.999870	20.4752291928	0.0000326660	1.5266283351	0.0008697839
-64.999870	-29.999929	-64.999870	20.4701656884	0.0000474157	1.6856561910	0.0009690760
-64.999870	-29.999929	-64.999870	20.4713292248	0.0000211870	1.8584592950	0.0011966377
-64.999870	-29.999929	-64.999870	20.4670197085	0.0000272102	2.0399375293	0.0014467044
-64.999870	-29.999929	-64.999870	20.4659042217	0.0000154862	2.2328184279	0.0014913451
-64.999870	-29.999929	-64.999870	20.4704219542	0.0000260203	2.4362660310	0.0014802469
-64.999870	-29.999929	-64.999870	20.4688260856	0.0000150300	2.6446141214	0.0016734790
-64.999870	-29.999929	-64.999870	20.4687000986	0.0000056564	2.8306363390	0.0008002920
-64.999870	-29.999929	-64.999870	20.4704092578	0.0000265004	2.9298403659	0.0000870738
-64.999870	-29.999929	-64.999870	20.4698150128	0.0000086342	2.9340193142	0.0000110498
-64.999870	-29.999929	-64.999870	20.4702777623	0.0000126872	2.9266832677	0.0000039701
-64.999870	-29.999929	-64.999870	20.4686938625	0.0000301967	2.9310480581	0.0000068374
-64.999870	-29.999929	-64.999870	20.4695219665	0.0000095167	2.9439766493	0.0000115073
-64.999870	-29.999929	-64.999870	20.4645879240	0.0000215632	2.9552647661	0.0000100138
-64.999870	-29.999929	-64.999870	20.4629612689	0.0000102702	2.9540860782	0.0000043543
-64.999870	-29.999929	-64.999870	20.4670361880	0.0000111757	2.9516660205	0.0000022963
-64.999870	-29.999929	-64.999870	20.4659070682	0.0000236060	2.9506644097	0.0000032323
-64.999870	-29.999929	-64.999870	20.4652261103	0.0000282740	2.9499476411	0.0000028244
-64.999870	-29.999929	-64.999870	20.4667351530	0.0000332056	2.9491146232	0.0000031859
-64.999870	-29.999929	-64.999870	20.4638384709	0.0000171732	2.9521812378	0.0000020786
-64.999870	-29.999929	-64.999870	20.4679847589	0.0000139265	2.9518909820	0.0000028372
-64.999870	-29.999929	-64.999870	20.4686574333	0.0000269788	2.9544210915	0.0000042502
-64.999870	-29.999929	-64.999870	20.4687748243	0.0000155428	2.9527252898	0.0000021905
-64.999870	-29.999929	-64.999870	20.4708774616	0.0000397124	2.9500169039	0.0000073542
-64.999870	-29.999929	-64.999870	20.4747219405	0.0000092864	2.9514186499	0.0000034384
-64.999870	-29.999929	-64.999870	20.4737883156	0.0000157130	2.9512364801	0.0000120602
-64.999870	-29.999929	-64.999870	20.4750255594	0.0000134773	2.9541043267	0.0000013490
-64.999870	-29.999929	-64.999870	20.4784830671	0.0000234340	2.9534913988	0.0000061577
-64.999870	-29.999929	-64.999870	20.4785637595	0.0000167215	2.9501767638	0.0000020885
-64.999870	-29.999929	-64.999870	20.4771879416	0.0000056102	2.9530836028	0.0000021933
-64.999870	-29.999929	-64.999870	20.4796146147	0.0000247802	2.9525001229	0.0000086957
-64.999870	-29.999929	-64.999870	20.4791934840	0.0000232011	2.9516800209	0.0000069432
-64.999870	-29.999929	-64.999870	20.4795274806	0.0000473831	2.9525888096	0.0000028492
-64.999870	-29.999929	-64.999870	20.4772234813	0.0000137390	2.9544845507	0.0000045641
-64.999870	-29.999929	-64.999870	20.4798653909	0.0000165650	2.9502470157	0.0000019788
-64.999870	-29.999929	-64.999870	20.4811079006	0.0000203444	2.9515688424	0.0000019894
-64.999870	-29.999929	-64.999870	20.4828460809	0.0000360684	2.9491326811	0.0000044933
-64.999870	-29.999929	-64.999870	20.4827138385	0.0000162242	2.9504253805	0.0000056984
-64.999870	-29.999929	-64.999870	20.4827739234	0.0000366538	2.9542324602	0.0000015656
-64.999870	-29.999929	-64.999870	20.4818487838	0.0000106708	2.9542134891	0.0000014179
-64.999870	-29.999929	-64.999870	20.4816183353	0.0000130392	2.9535350612	0.0000046725
-64.999870	-29.999929	-64.999870	20.4833457306	0.0000162008	2.9664326230	0.0000149848
-64.999870	-29.999929	-64.999870	20.4832870838	0.0000275513	3.0117074692	0.0001795703
-64.999870	-29.999929	-64.999870	20.4885345431	0.0000105782	3.1063486981	0.0005443140
-64.999870	-29.999929	-64.999870	20.4876879813	0.0000254259	3.2583765135	0.0011983195
-64.999870	-29.999929	-64.999870	20.4856316483	0.0000311550	3.4671445699	0.0019355463
-64.999870	-29.999929	-64.999870	20.4882516108	0.0000099838	3.7143044286	0.0025549198
-64.999870	-29.999929	-64.999870	20.4902906139	0.0000116581	3.9735445496	0.0024208923
-64.999870	-29.999929	-64.999870	20.4899336133	0.0000409217	4.2302989091	0.0023215859
-64.999870	-29.999929	-64.999870	20.4912829165	0.0000070056	4.4897818310	0.0025496512
-64.999870	-29.999929	-64.999870	20.4929357195	0.0000305425	4.7574428760	0.0031905040
-64.999870	-29.999929	-64.999870	20.4924871590	0.0000248373	5.0437875635	0.0032729610
