Vertical	Streamwise	Spanwise	Thermocouples/ai1 mean	Thermocouples/ai1 variance	4492/ai2 mean	4492/ai2 variance
-64.999870	-29.999929	-64.999870	20.4391629604	0.0000155892	0.2362149796	0.0000004614
-64.999870	-29.999929	-64.999870	20.4396687329	0.0000172054	0.2337084678	0.0000006729
-64.999870	-29.999929	-64.999870	20.4365146753	0.0000318247	0.2309396984	0.0000002639
-64.999870	-29.999929	-64.999870	20.4393261397	0.0000391488	0.2283296340	0.0000004358
-64.999870	-29.999929	-64.999870	20.4414791496	0.0000193292	0.2253319963	0.0000006331
-64.999870	-29.999929	-64.999870	20.4384940418	0.0000196106	0.2224354946	0.0000003468
-64.999870	-29.999929	-64.999870	20.4378176493	0.0000048719	0.2209245810	0.0000003344
-64.999870	-29.999929	-64.999870	20.4393144747	0.0000087355	0.2217482544	0.0000020203
-64.999870	-29.999929	-64.999870	20.4389576983	0.0000325028	0.2360146725	0.0000180082
-64.999870	-29.999929	-64.999870	20.4390021288	0.0000218561	0.2660481716	0.0000532848
-64.999870	-29.999929	-64.999870	20.4358959356	0.0000120624	0.3090739090	0.0000893424
-64.999870	-29.999929	-64.999870	20.4369976309	0.0000311846	0.3662779148	0.0001212425
-64.999870	-29.999929	-64.999870	20.4364980465	0.0000117548	0.4292652111	0.0001713969
-64.999870	-29.999929	-64.999870	20.4378078433	0.0000248296	0.5029540285	0.0002347472
-64.999870	-29.999929	-64.999870	20.4378274097	0.0000361936	0.5770743399	0.0001308538
-64.999870	-29.999929	-64.999870	20.4360560875	0.0000258378	0.6215907847	0.0000439169
-64.999870	-29.999929	-64.999870	20.4367075148	0.0000170742	0.6554553749	0.0000388592
-64.999870	-29.999929	-64.999870	20.4402900251	0.0000143906	0.6850675009	0.0000108050
-64.999870	-29.999929	-64.999870	20.4380320718	0.0000256604	0.6994224248	0.0000109032
-64.999870	-29.999929	-64.999870	20.4390041025	0.0000062210	0.7149999178	0.0000079576
-64.999870	-29.999929	-64.999870	20.4358927786	0.0000315298	0.7228001078	0.0000011534
-64.999870	-29.999929	-64.999870	20.4287347254	0.0000143051	0.7302969668	0.0000025397
-64.999870	-29.999929	-64.999870	20.4304051652	0.0000262073	0.7350145241	0.0000002328
-64.999870	-29.999929	-64.999870	20.4330969553	0.0000114333	0.7364825618	0.0000012760
-64.999870	-29.999929	-64.999870	20.4400558833	0.0000250139	0.7406892713	0.0000008287
-64.999870	-29.999929	-64.999870	20.4416576308	0.0000139280	0.7393811568	0.0000006835
-64.999870	-29.999929	-64.999870	20.4318766609	0.0000328704	0.7427801784	0.0000014666
-64.999870	-29.999929	-64.999870	20.4323900074	0.0000176482	0.7409062752	0.0000004887
-64.999870	-29.999929	-64.999870	20.4291758674	0.0000263195	0.7445406748	0.0000011851
-64.999870	-29.999929	-64.999870	20.4323947809	0.0000122115	0.7432716554	0.0000016909
-64.999870	-29.999929	-64.999870	20.4281807840	0.0000088518	0.7438888050	0.0000014264
-64.999870	-29.999929	-64.999870	20.4305106487	0.0000144208	0.7451880440	0.0000022652
-64.999870	-29.999929	-64.999870	20.4323395933	0.0000207618	0.7427293110	0.0000008214
-64.999870	-29.999929	-64.999870	20.4302438526	0.0000221850	0.7450779355	0.0000003214
-64.999870	-29.999929	-64.999870	20.4319579178	0.0000189429	0.7429161776	0.0000002437
-64.999870	-29.999929	-64.999870	20.4280176372	0.0000267700	0.7443734952	0.0000004635
-64.999870	-29.999929	-64.999870	20.4302995038	0.0000281041	0.7447903188	0.0000005084
-64.999870	-29.999929	-64.999870	20.4285760966	0.0000219760	0.7429781751	0.0000011690
