Vertical	Streamwise	Spanwise	Thermocouples/ai1 mean	Thermocouples/ai1 variance	4492/ai2 mean	4492/ai2 variance
-64.999870	-29.999929	-64.999870	20.2325121123	0.0000114191	0.3944044539	0.0000021189
-64.999870	-29.999929	-64.999870	20.2324907813	0.0000093980	0.3891498762	0.0000008218
-64.999870	-29.999929	-64.999870	20.2317062010	0.0000167475	0.3833801346	0.0000014865
-64.999870	-29.999929	-64.999870	20.2283308397	0.0000274560	0.3781284412	0.0000015375
-64.999870	-29.999929	-64.999870	20.2297908759	0.0000170990	0.3734961591	0.0000023907
-64.999870	-29.999929	-64.999870	20.2304881557	0.0000149092	0.3682963684	0.0000012931
-64.999870	-29.999929	-64.999870	20.2253101567	0.0000129008	0.3630354336	0.0000006987
-64.999870	-29.999929	-64.999870	20.2276141906	0.0000098918	0.3598492793	0.0000010655
-64.999870	-29.999929	-64.999870	20.2261372950	0.0000222442	0.3618534079	0.0000070920
-64.999870	-29.999929	-64.999870	20.2279738433	0.0000087473	0.3853068672	0.0000445836
-64.999870	-29.999929	-64.999870	20.2260381033	0.0000179011	0.4313520228	0.0001129487
-64.999870	-29.999929	-64.999870	20.2241353100	0.0000329578	0.4928151909	0.0001649399
-64.999870	-29.999929	-64.999870	20.2289174602	0.0000282273	0.5631840474	0.0001741436
-64.999870	-29.999929	-64.999870	20.2286211449	0.0000335711	0.6188923685	0.0000564643
-64.999870	-29.999929	-64.999870	20.2329678361	0.0000097535	0.6480094017	0.0000326210
-64.999870	-29.999929	-64.999870	20.2314244515	0.0000141669	0.6777414400	0.0000261418
-64.999870	-29.999929	-64.999870	20.2307916929	0.0000208983	0.6968078279	0.0000076895
-64.999870	-29.999929	-64.999870	20.2354016414	0.0000178515	0.7112669309	0.0000128231
-64.999870	-29.999929	-64.999870	20.2335280404	0.0000109747	0.7227370169	0.0000009830
-64.999870	-29.999929	-64.999870	20.2327392098	0.0000201603	0.7294198413	0.0000031418
-64.999870	-29.999929	-64.999870	20.2203068624	0.0000286150	0.7363003726	0.0000008046
-64.999870	-29.999929	-64.999870	20.2209310871	0.0000075184	0.7365952427	0.0000009203
-64.999870	-29.999929	-64.999870	20.2189612722	0.0000079243	0.7419997071	0.0000008191
-64.999870	-29.999929	-64.999870	20.2334462350	0.0000254999	0.7416422543	0.0000008081
-64.999870	-29.999929	-64.999870	20.2356172568	0.0000050337	0.7435853459	0.0000017517
-64.999870	-29.999929	-64.999870	20.2326444343	0.0000183153	0.7440776894	0.0000029226
-64.999870	-29.999929	-64.999870	20.2271660971	0.0000187056	0.7427606373	0.0000013346
-64.999870	-29.999929	-64.999870	20.2234532771	0.0000195096	0.7453609380	0.0000012114
-64.999870	-29.999929	-64.999870	20.2235091058	0.0000436335	0.7433934754	0.0000009734
-64.999870	-29.999929	-64.999870	20.2254198468	0.0000204316	0.7471199383	0.0000009491
-64.999870	-29.999929	-64.999870	20.2233204124	0.0000211605	0.7450066461	0.0000009731
-64.999870	-29.999929	-64.999870	20.2236783071	0.0000120753	0.7454093731	0.0000023495
-64.999870	-29.999929	-64.999870	20.2263167756	0.0000245232	0.7451272345	0.0000029269
-64.999870	-29.999929	-64.999870	20.2262489446	0.0000261383	0.7452896476	0.0000014273
-64.999870	-29.999929	-64.999870	20.2245792336	0.0000253182	0.7461834960	0.0000009881
-64.999870	-29.999929	-64.999870	20.2254254252	0.0000111332	0.7449535305	0.0000005655
-64.999870	-29.999929	-64.999870	20.2196569455	0.0000128149	0.7474084808	0.0000012904
-64.999870	-29.999929	-64.999870	20.2174252089	0.0000273337	0.7447249944	0.0000016227
-64.999870	-29.999929	-64.999870	20.2168874634	0.0000132085	0.7478381427	0.0000014003
-64.999870	-29.999929	-64.999870	20.2173301833	0.0000282477	0.7450336233	0.0000008298
-64.999870	-29.999929	-64.999870	20.2148366604	0.0000219733	0.7459332213	0.0000012791
