Vertical	Streamwise	Spanwise	Thermocouples/ai1 mean	Thermocouples/ai1 variance	4492/ai2 mean	4492/ai2 variance
-64.999870	-29.999929	-64.999870	20.6236571582	0.0000195626	0.0286438554	0.0000001025
-64.999870	-29.999929	-64.999870	20.6252000371	0.0000121409	0.0286503926	0.0000002836
-64.999870	-29.999929	-64.999870	20.6231704774	0.0000179994	0.0276107411	0.0000001776
-64.999870	-29.999929	-64.999870	20.6209846405	0.0000157484	0.0276473831	0.0000000786
-64.999870	-29.999929	-64.999870	20.6205128585	0.0000446293	0.0274307798	0.0000001535
-64.999870	-29.999929	-64.999870	20.6202284082	0.0000227987	0.0271673672	0.0000002193
-64.999870	-29.999929	-64.999870	20.6181297089	0.0000058605	0.0269116095	0.0000004726
-64.999870	-29.999929	-64.999870	20.6198319723	0.0000166660	0.0288004023	0.0000008855
-64.999870	-29.999929	-64.999870	20.6220053649	0.0000181495	0.0336954838	0.0000013628
-64.999870	-29.999929	-64.999870	20.6212957574	0.0000115297	0.0415370256	0.0000032456
-64.999870	-29.999929	-64.999870	20.6196954864	0.0000141824	0.0521186060	0.0000053504
-64.999870	-29.999929	-64.999870	20.6170180505	0.0000168271	0.0674001022	0.0000115643
-64.999870	-29.999929	-64.999870	20.6149327462	0.0000176470	0.0910747787	0.0000293827
-64.999870	-29.999929	-64.999870	20.6139467344	0.0000187671	0.1215454600	0.0000443332
-64.999870	-29.999929	-64.999870	20.6149723531	0.0000224889	0.1625774694	0.0000797017
-64.999870	-29.999929	-64.999870	20.6117796296	0.0000128325	0.2160977484	0.0001322998
-64.999870	-29.999929	-64.999870	20.6106790151	0.0000173570	0.2820259929	0.0001983806
-64.999870	-29.999929	-64.999870	20.6139373648	0.0000326922	0.3623224669	0.0002908244
-64.999870	-29.999929	-64.999870	20.6190111922	0.0000150201	0.4629545247	0.0002909874
-64.999870	-29.999929	-64.999870	20.6199304374	0.0000175261	0.5357464237	0.0001078366
-64.999870	-29.999929	-64.999870	20.6169989537	0.0000129348	0.5859770401	0.0000974837
-64.999870	-29.999929	-64.999870	20.6169676989	0.0000162866	0.6326595791	0.0000631744
-64.999870	-29.999929	-64.999870	20.6189609921	0.0000294512	0.6618698950	0.0000237713
-64.999870	-29.999929	-64.999870	20.6188739021	0.0000080963	0.6858789161	0.0000221543
-64.999870	-29.999929	-64.999870	20.6230742072	0.0000132311	0.7011506009	0.0000043509
-64.999870	-29.999929	-64.999870	20.6247080003	0.0000167219	0.7105403135	0.0000066972
-64.999870	-29.999929	-64.999870	20.6248725838	0.0000233424	0.7193463124	0.0000007069
-64.999870	-29.999929	-64.999870	20.6277051745	0.0000221874	0.7208343496	0.0000021115
-64.999870	-29.999929	-64.999870	20.6270377923	0.0000266362	0.7272014943	0.0000006111
-64.999870	-29.999929	-64.999870	20.6317088137	0.0000148039	0.7265624533	0.0000002693
-64.999870	-29.999929	-64.999870	20.6271664428	0.0000363199	0.7316962502	0.0000010395
-64.999870	-29.999929	-64.999870	20.6240878507	0.0000343051	0.7314527904	0.0000020750
-64.999870	-29.999929	-64.999870	20.6215206007	0.0000316818	0.7349829882	0.0000045072
-64.999870	-29.999929	-64.999870	20.6201695086	0.0000202671	0.7367687517	0.0000041909
-64.999870	-29.999929	-64.999870	20.6245013144	0.0000128515	0.7360847726	0.0000019036
-64.999870	-29.999929	-64.999870	20.6239811133	0.0000195518	0.7395945520	0.0000013413
-64.999870	-29.999929	-64.999870	20.6204202999	0.0000152149	0.7373693425	0.0000013457
-64.999870	-29.999929	-64.999870	20.6196566006	0.0000272110	0.7399495158	0.0000021809
-64.999870	-29.999929	-64.999870	20.6201533354	0.0000040984	0.7368601849	0.0000024740
