Vertical	Streamwise	Spanwise	Thermocouples/ai1 mean	Thermocouples/ai1 variance	4492/ai2 mean	4492/ai2 variance
-64.999870	-29.999929	-64.999870	20.7579844649	0.0000173257	0.3990810093	0.0000005791
-64.999870	-29.999929	-64.999870	20.7623529801	0.0000225076	0.3942365527	0.0000014101
-64.999870	-29.999929	-64.999870	20.7601698577	0.0000209181	0.3886453676	0.0000029283
-64.999870	-29.999929	-64.999870	20.7601975688	0.0000342450	0.3830858486	0.0000018279
-64.999870	-29.999929	-64.999870	20.7596446347	0.0000222738	0.3773606264	0.0000013507
-64.999870	-29.999929	-64.999870	20.7630917376	0.0000311637	0.3724133483	0.0000009325
-64.999870	-29.999929	-64.999870	20.7599393704	0.0000221049	0.3671611460	0.0000009268
-64.999870	-29.999929	-64.999870	20.7603595402	0.0000246065	0.3639892645	0.0000005014
-64.999870	-29.999929	-64.999870	20.7619170902	0.0000162429	0.3724332842	0.0000153905
-64.999870	-29.999929	-64.999870	20.7571926264	0.0000212507	0.4037086584	0.0000686128
-64.999870	-29.999929	-64.999870	20.7589132834	0.0000184398	0.4569543761	0.0001334375
-64.999870	-29.999929	-64.999870	20.7601633318	0.0000081272	0.5240226496	0.0001957119
-64.999870	-29.999929	-64.999870	20.7595103407	0.0000295189	0.5948991326	0.0000840612
-64.999870	-29.999929	-64.999870	20.7603470844	0.0000177139	0.6285559795	0.0000227515
-64.999870	-29.999929	-64.999870	20.7557668372	0.0000179098	0.6564424959	0.0000308488
-64.999870	-29.999929	-64.999870	20.7581460576	0.0000416041	0.6813387881	0.0000130911
-64.999870	-29.999929	-64.999870	20.7596710736	0.0000337241	0.6940351485	0.0000059840
-64.999870	-29.999929	-64.999870	20.7611261192	0.0000164462	0.7078023131	0.0000043150
-64.999870	-29.999929	-64.999870	20.7587915298	0.0000324115	0.7136872998	0.0000011459
-64.999870	-29.999929	-64.999870	20.7593540181	0.0000146407	0.7208789663	0.0000027662
-64.999870	-29.999929	-64.999870	20.7573610256	0.0000353630	0.7241055557	0.0000017407
-64.999870	-29.999929	-64.999870	20.7563320153	0.0000325778	0.7270195078	0.0000006022
